               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11818,            0.054238,            0.029143,            0.017534,              0.2379,            0.012085,           0.0019762,             0.11735,            0.048304,            0.028267,              0.0009,              0.0009,              0.0919
                   1,             0.11251,            0.056806,            0.027912,             0.02693,             0.19531,            0.020826,           0.0033095,             0.10517,            0.055186,            0.026042,           0.0018624,           0.0018624,            0.082862
                   2,              0.1026,            0.063548,            0.025899,            0.059368,             0.49472,            0.060068,            0.012105,            0.097855,            0.054232,            0.024553,           0.0027852,           0.0027852,            0.073785
                   3,            0.094077,            0.068768,            0.023906,             0.10762,              0.5757,             0.11749,            0.023736,            0.095464,            0.052091,             0.02263,           0.0036683,           0.0036683,            0.064668
                   4,            0.088871,             0.05965,            0.021533,             0.13777,             0.44715,             0.10213,            0.018646,            0.090872,             0.04959,            0.019526,           0.0045119,           0.0045119,            0.055512
                   5,             0.08953,            0.057701,            0.019923,             0.12728,             0.40526,            0.081813,            0.012363,            0.087205,            0.048389,            0.016995,           0.0053159,           0.0053159,            0.046316
                   6,            0.082678,            0.052791,            0.018362,             0.23698,             0.55397,             0.25184,            0.054869,            0.078566,             0.04732,            0.015761,           0.0060803,           0.0060803,             0.03708
                   7,            0.080134,            0.054484,            0.016696,             0.24845,             0.53345,             0.29733,            0.057287,            0.076644,            0.044061,            0.014441,           0.0068051,           0.0068051,            0.027805
                   8,            0.080265,            0.049871,            0.017922,             0.21598,             0.70909,             0.27543,            0.055546,            0.074587,            0.042626,            0.013703,           0.0074902,           0.0074902,             0.01849
                   9,             0.08685,            0.047135,            0.016941,             0.58438,             0.46743,             0.35125,            0.096339,            0.088669,            0.039832,            0.012634,           0.0081358,           0.0081358,           0.0091358
                  10,            0.098522,            0.043139,            0.015439,            0.080263,             0.29005,            0.050648,            0.014929,             0.11345,            0.032201,            0.011451,             0.00802,             0.00802,             0.00802
                  11,             0.11237,             0.03421,              0.0142,             0.18279,             0.23845,            0.096604,            0.020457,             0.11038,            0.031456,            0.011616,             0.00802,             0.00802,             0.00802
                  12,             0.10552,            0.033779,             0.01252,             0.18279,             0.23845,            0.096604,            0.020457,             0.11038,            0.031456,            0.011616,            0.007822,            0.007822,            0.007822
                  13,             0.10452,            0.036578,            0.011723,             0.17235,               0.346,             0.13555,            0.028357,             0.10649,             0.03262,            0.011493,            0.007624,            0.007624,            0.007624
                  14,             0.10323,            0.035239,            0.011842,             0.43054,             0.27242,             0.28194,            0.070833,             0.10392,            0.029587,            0.010897,            0.007426,            0.007426,            0.007426
                  15,             0.10046,            0.032416,            0.010779,             0.54972,             0.44516,             0.45403,             0.17089,            0.097426,            0.029696,            0.009134,            0.007228,            0.007228,            0.007228
